transaction_id,customer_id,transaction_date,total_amount
T000744,C000321,2025-05-24,8069000
T000745,C000321,2024-06-06,764000
T000746,C000384,2023-11-09,4329000
T000747,C000704,2025-08-29,3334000
T000748,C000069,2023-07-06,2482000
T000749,C000852,2023-06-24,4127000
T000750,C000096,2025-06-03,2719000
T000751,C000099,2025-02-02,6087000
T000752,C000832,2023-09-24,2670000
T000753,C000570,2023-05-03,1913000
T000754,C000601,2024-11-06,1163000
T000755,C000687,2023-09-08,1632000
T000756,C000421,2024-12-25,1360000
T000757,C000895,2025-05-16,1358000
T000758,C000889,2023-04-16,931000
T000759,C000992,2024-08-12,1393000
T000760,C000615,2024-10-01,3011000
T000761,C000361,2023-08-01,1485000
T000762,C000592,2025-11-05,638000
T000763,C000218,2023-11-13,2133000
T000764,C000673,2025-09-14,690000
T000765,C000230,2023-08-10,3436000
T000766,C000359,2025-01-22,1837000
T000767,C000118,2024-07-24,825000
T000768,C000588,2024-04-08,359000
T000769,C000827,2025-05-28,764000
T000770,C000866,2023-02-23,753000
T000771,C000624,2024-07-01,3079000
T000772,C000030,2024-01-05,5763000
T000773,C000280,2024-09-24,2477000
T000774,C000944,2024-11-26,1491000
T000775,C000360,2023-01-13,6034000
T000776,C000186,2023-10-21,332000
T000777,C000580,2025-03-31,3387000
T000778,C000072,2023-10-18,2923000
T000779,C000759,2023-03-04,2110000
T000780,C000094,2025-12-22,19000
T000781,C000221,2025-02-09,1143000
T000782,C000430,2025-07-18,5329000
T000783,C000350,2023-11-19,2280000
T000784,C000379,2024-09-30,2175000
T000785,C000739,2024-10-26,477000
T000786,C000796,2023-06-23,3867000
T000787,C000905,2023-04-18,932000
T000788,C000160,2023-11-19,1952000
T000789,C000773,2023-04-12,2473000
T000790,C000691,2023-06-17,1394000
T000791,C000279,2025-06-26,7978000
T000792,C000678,2025-05-18,3934000
T000793,C000498,2025-06-24,1824000
T000794,C000425,2024-07-13,1847000
T000795,C000221,2025-11-15,1206000
T000796,C000117,2024-12-07,3351000
T000797,C000441,2023-08-16,890000
T000798,C000291,2025-09-23,3751000
T000799,C000540,2024-09-23,1929000
T000800,C000047,2024-03-27,2530000
T000801,C000405,2023-04-23,2360000
T000802,C000008,2024-02-23,4138000
T000803,C000309,2024-03-08,2417000
T000804,C000786,2023-10-09,217000
T000805,C000783,2024-06-07,4242000
T000806,C000297,2024-11-02,1774000
T000807,C000123,2023-01-16,4390000
T000808,C000510,2025-05-31,1831000
T000809,C000180,2023-09-22,3985000
T000810,C000390,2025-12-26,1284000
T000811,C000721,2024-04-16,1817000
T000812,C000513,2024-12-26,38000
T000813,C000074,2025-03-24,2278000
T000814,C000883,2023-03-28,4766000
T000815,C000447,2023-02-08,3238000
T000816,C000471,2023-06-09,2547000
T000817,C000883,2024-10-03,2700000
T000818,C000590,2025-05-29,3047000
T000819,C000588,2025-04-08,1469000
T000820,C000727,2025-05-05,4070000
T000821,C000297,2023-08-24,1732000
T000822,C000415,2023-02-12,230000
T000823,C000990,2024-10-27,6350000
T000824,C000176,2025-07-31,1867000
T000825,C000852,2025-01-11,4568000
T000826,C000091,2025-06-13,1976000
T000827,C000865,2023-08-05,1268000
T000828,C000250,2025-06-11,1754000
T000829,C000604,2025-03-31,4869000
T000830,C000537,2023-06-11,70000
T000831,C000406,2024-09-27,4110000
T000832,C000764,2024-11-26,5757000
T000833,C000227,2024-11-13,3839000
T000834,C000798,2023-12-11,1053000
T000835,C000079,2025-11-11,1825000
T000836,C000649,2023-08-22,262000
T000837,C000544,2025-11-10,2847000
T000838,C000199,2024-12-16,2007000
T000839,C000360,2023-10-30,3205000
T000840,C000242,2023-07-30,2382000
T000841,C000150,2024-06-08,6390000
T000842,C000203,2023-12-22,1445000
T000843,C000617,2023-11-10,740000
T000844,C000779,2023-06-04,3199000
T000845,C000182,2025-10-08,494000
T000846,C000476,2025-07-08,1393000
T000847,C000698,2024-10-23,90000
T000848,C000885,2024-10-09,2041000
T000849,C000155,2025-06-19,3763000
T000850,C000070,2025-08-18,632000
T000851,C000453,2024-09-12,3129000
T000852,C000816,2024-07-16,3500000
T000853,C000606,2023-04-26,2258000
T000854,C000361,2025-11-05,224000
T000855,C000076,2024-09-27,4584000
T000856,C000473,2025-07-14,448000
T000857,C000039,2023-04-27,1173000
T000858,C000378,2024-08-10,3431000
T000859,C000079,2023-07-04,1886000
T000860,C000630,2025-11-04,1458000
T000861,C000394,2025-08-05,3990000
T000862,C000595,2023-03-26,2958000
T000863,C000461,2024-01-21,2946000
T000864,C000330,2025-09-01,3410000
T000865,C000514,2023-11-05,4293000
T000866,C000981,2023-05-07,212000
T000867,C000462,2023-07-31,1694000
T000868,C000831,2024-12-04,2748000
T000869,C000732,2023-06-22,3165000
T000870,C000517,2023-12-20,171000
T000871,C000041,2024-05-22,3418000
T000872,C000725,2025-06-15,4816000
T000873,C000450,2025-12-09,1274000
T000874,C000536,2023-11-22,3974000
T000875,C000373,2025-02-02,2963000
T000876,C000940,2024-08-02,1512000
T000877,C000397,2025-04-17,1796000
T000878,C000794,2024-11-23,2655000
T000879,C000696,2023-04-18,3051000
T000880,C000809,2024-11-16,4553000
T000881,C000068,2024-11-06,335000
T000882,C000097,2025-03-02,4346000
T000883,C000291,2024-05-31,438000
T000884,C000742,2023-11-04,1440000
T000885,C000342,2023-06-16,3998000
T000886,C000597,2023-10-17,1727000
T000887,C000939,2024-12-17,202000
T000888,C000318,2025-03-13,699000
T000889,C000133,2023-06-23,3720000
T000890,C000318,2025-02-10,3135000
T000891,C000659,2024-11-03,1530000
T000892,C000833,2023-09-19,2029000
T000893,C000687,2025-12-14,760000
T000894,C000096,2025-05-17,1381000
T000895,C000521,2025-01-11,2206000
T000896,C000019,2025-01-12,1488000
T000897,C000317,2024-01-05,4452000
T000898,C000974,2024-03-14,1075000
T000899,C000350,2025-09-22,351000
T000900,C000197,2024-04-08,495000
T000901,C000141,2023-11-14,2978000
T000902,C000080,2024-08-28,3586000
T000903,C000865,2023-07-27,618000
T000904,C000520,2025-12-14,496000
T000905,C000039,2024-11-20,675000
T000906,C000898,2023-09-26,787000
T000907,C000612,2025-02-10,4022000
T000908,C000158,2023-11-29,3471000
T000909,C000186,2023-12-06,2463000
T000910,C000739,2025-06-15,1520000
T000911,C000045,2025-04-21,5169000
T000912,C000374,2024-05-01,3432000
T000913,C000993,2025-06-28,4768000
T000914,C000626,2024-08-06,4629000
T000915,C000771,2025-07-08,1617000
T000916,C000240,2025-12-29,726000
T000917,C000245,2024-09-25,4492000
T000918,C000989,2025-08-18,2024000
T000919,C000926,2024-02-02,2375000
T000920,C000377,2025-06-21,65000
T000921,C000473,2024-07-31,4243000
T000922,C000797,2025-02-21,2062000
T000923,C000515,2025-12-16,1286000
T000924,C000429,2023-11-28,10000
T000925,C000837,2024-02-13,2034000
T000926,C000821,2023-10-11,2746000
T000927,C000894,2024-05-27,3015000
T000928,C000054,2025-09-11,1547000
T000929,C000896,2025-01-30,2036000
T000930,C000568,2023-07-30,3282000
T000931,C000729,2025-11-22,1002000
T000932,C000872,2023-09-13,2574000
T000933,C000292,2023-06-21,585000
T000934,C000782,2023-11-25,328000
T000935,C000280,2025-07-09,3965000
T000936,C000928,2025-11-17,2380000
T000937,C000151,2025-06-14,1857000
T000938,C000094,2024-03-30,4751000
T000939,C000837,2025-07-12,895000
T000940,C000906,2024-12-16,4338000
T000941,C000953,2023-02-24,411000
T000942,C000425,2023-04-20,3287000
T000943,C000406,2025-10-25,2573000
T000944,C000383,2024-04-27,368000
T000945,C000396,2023-06-17,102000
T000946,C000384,2024-04-04,3106000
T000947,C000029,2024-10-14,1939000
T000948,C000954,2023-07-22,2244000
T000949,C000860,2024-11-17,3847000
T000950,C000811,2023-10-27,386000
T000951,C000141,2023-03-20,4695000
T000952,C000294,2025-08-25,6518000
T000953,C000713,2023-10-12,390000
T000954,C000778,2025-08-18,3499000
T000955,C000460,2023-01-11,3509000
T000956,C000928,2023-06-12,4757000
T000957,C000020,2024-06-08,207000
T000958,C000221,2023-11-03,1313000
T000959,C000562,2025-12-16,1582000
T000960,C000434,2023-08-16,2757000
T000961,C000795,2024-08-13,3400000
T000962,C000244,2024-09-08,1407000
T000963,C000125,2023-04-08,4757000
T000964,C000245,2025-05-09,4484000
T000965,C000655,2025-07-25,1317000
T000966,C000065,2023-08-16,1833000
T000967,C000857,2025-10-20,3504000
T000968,C000612,2023-02-03,4116000
T000969,C000648,2025-11-21,596000
T000970,C000589,2024-05-10,2872000
T000971,C000736,2023-10-22,745000
T000972,C000299,2025-05-29,1872000
T000973,C000002,2024-12-23,2508000
T000974,C000247,2025-05-03,2899000
T000975,C000192,2023-06-25,4104000
T000976,C000537,2025-01-08,3271000
T000977,C000070,2025-12-13,242000
T000978,C000558,2025-11-05,1994000
T000979,C000806,2025-11-05,372000
T000980,C000568,2023-02-11,1100000
T000981,C000400,2025-08-20,236000
T000982,C000045,2025-03-03,1135000
T000983,C000383,2024-06-03,1464000
T000984,C000766,2023-02-03,3897000
T000985,C000366,2023-05-19,1866000
T000986,C000354,2024-05-08,24000
T000987,C000751,2023-08-01,1389000
T000988,C000791,2024-11-11,1934000
T000989,C000137,2023-04-01,4173000
T000990,C000361,2024-11-24,190000
T000991,C000834,2023-12-25,3240000
T000992,C000851,2025-08-09,1743000
T000993,C000713,2025-09-07,2694000
T000994,C000647,2024-01-09,870000
T000995,C000831,2023-10-04,2908000
T000996,C000065,2025-07-26,2910000
T000997,C000038,2024-08-23,1794000
T000998,C000207,2023-03-31,2172000
T000999,C000811,2024-02-13,4720000
T001000,C000908,2023-03-27,3059000
